IMS_Station,Distance [km],Azimuth [deg.],Back_Azimuth [deg.],Delay_Trop [s],Delay_Strat [s],Delay_Therm [s],ETA_Trop,ETA_Strat,ETA_Therm
I47ZA,10332.4614,-123.0737,118.9815,30389.5922,36254.2504,46965.7334,2019-05-19 23:13:32,2019-05-20 00:51:17,2019-05-20 03:49:48
I19DJ,10478.0875,-79.3187,113.2417,30817.9045,36765.2194,47627.6706,2019-05-19 23:20:40,2019-05-20 00:59:48,2019-05-20 04:00:50
I32KE,10560.2905,-93.5401,113.8185,31059.6781,37053.651,48001.3207,2019-05-19 23:24:42,2019-05-20 01:04:36,2019-05-20 04:07:04
I31KZ,10999.3969,-38.4946,116.4935,32351.1673,38594.375,49997.2586,2019-05-19 23:46:14,2019-05-20 01:30:17,2019-05-20 04:40:20
I02AR,11111.7528,168.3292,-161.3463,32681.6259,38988.6063,50507.9673,2019-05-19 23:51:44,2019-05-20 01:36:51,2019-05-20 04:48:50
I13CL,11279.263,126.5876,-124.2353,33174.3029,39576.3614,51269.3773,2019-05-19 23:59:57,2019-05-20 01:46:39,2019-05-20 05:01:32
I35NA,11533.2691,-118.4201,121.4225,33921.3796,40467.6108,52423.9503,2019-05-20 00:12:24,2019-05-20 02:01:30,2019-05-20 05:20:46
I53US,11885.3196,25.8534,-109.758,34956.8224,41702.8759,54024.1801,2019-05-20 00:29:39,2019-05-20 02:22:05,2019-05-20 05:47:27
I49GB,12342.1958,-150.7605,145.866,36300.5758,43305.9501,56100.8899,2019-05-20 00:52:03,2019-05-20 02:48:48,2019-05-20 06:22:03
I43RU,12515.8104,-36.2529,99.0431,36811.2069,43915.1241,56890.0471,2019-05-20 01:00:34,2019-05-20 02:58:58,2019-05-20 06:35:13
I14CL,12824.2138,151.1506,-147.9149,37718.276,44997.2416,58291.8811,2019-05-20 01:15:41,2019-05-20 03:17:00,2019-05-20 06:58:34
I57US,13284.2552,63.4562,-100.1731,39071.339,46611.4219,60382.9784,2019-05-20 01:38:14,2019-05-20 03:43:54,2019-05-20 07:33:25
I37NO,13402.8016,-22.2235,76.0414,39420.0047,47027.3741,60921.8255,2019-05-20 01:44:03,2019-05-20 03:50:50,2019-05-20 07:42:24
I56US,13403.369,46.549,-92.1161,39421.6734,47029.3647,60924.4043,2019-05-20 01:44:04,2019-05-20 03:50:52,2019-05-20 07:42:27
I18DK,13882.6541,5.5803,-24.8273,40831.3355,48711.0669,63102.973,2019-05-20 02:07:34,2019-05-20 04:18:54,2019-05-20 08:18:45
I26DE,14064.0487,-45.6654,84.8693,41364.8492,49347.5394,63927.4942,2019-05-20 02:16:27,2019-05-20 04:29:30,2019-05-20 08:32:30
I41PY,14356.3307,168.3007,-168.0331,42224.5021,50373.0903,65256.0488,2019-05-20 02:30:47,2019-05-20 04:46:36,2019-05-20 08:54:39
