IMS_Station,Distance [km],Azimuth [deg.],Back_Azimuth [deg.],Delay_Trop [s],Delay_Strat [s],Delay_Therm [s],ETA_Trop,ETA_Strat,ETA_Therm
I48TN,10095.3797,44.4943,-45.8978,29692.2933,35422.385,45888.0896,2016-06-02 19:11:24,2016-06-02 20:46:54,2016-06-02 23:41:20
I46RU,10141.2957,-9.1763,13.0134,29827.3404,35583.4938,46096.7988,2016-06-02 19:13:39,2016-06-02 20:49:35,2016-06-02 23:44:48
I34MN,10210.4085,-24.038,30.2608,30030.6132,35825.9946,46410.9476,2016-06-02 19:17:02,2016-06-02 20:53:37,2016-06-02 23:50:02
I31KZ,10588.4905,7.0556,-9.2162,31142.619,37152.5981,48129.5021,2016-06-02 19:35:34,2016-06-02 21:15:44,2016-06-03 00:18:41
I02AR,10674.6898,156.3088,-35.1782,31396.1464,37455.0519,48521.3172,2016-06-02 19:39:48,2016-06-02 21:20:47,2016-06-03 00:25:13
I22FR,10686.3317,-112.6676,55.9038,31430.3874,37495.9008,48574.2351,2016-06-02 19:40:22,2016-06-02 21:21:27,2016-06-03 00:26:06
I36NZ,10892.1907,-138.5245,49.8197,32035.855,38218.213,49509.9577,2016-06-02 19:50:27,2016-06-02 21:33:30,2016-06-03 00:41:41
I17CI,11053.7565,75.3673,-54.0482,32511.0484,38785.1104,50244.3476,2016-06-02 19:58:23,2016-06-02 21:42:57,2016-06-03 00:53:56
I50GB,11098.1251,93.0336,-56.9135,32641.5445,38940.7899,50446.0233,2016-06-02 20:00:33,2016-06-02 21:45:32,2016-06-03 00:57:18
I39PW,11745.1447,-69.4443,51.7073,34544.5431,41211.0339,53387.0212,2016-06-02 20:32:16,2016-06-02 22:23:23,2016-06-03 01:46:19
I49GB,12869.3629,118.8774,-65.8117,37851.0675,45155.6594,58497.1042,2016-06-02 21:27:23,2016-06-02 23:29:07,2016-06-03 03:11:29
I05AU,13321.9097,-123.5932,69.8382,39182.0874,46743.5428,60554.135,2016-06-02 21:49:34,2016-06-02 23:55:35,2016-06-03 03:45:46
I07AU,13469.0019,-94.302,61.8189,39614.7116,47259.6559,61222.7361,2016-06-02 21:56:46,2016-06-03 00:04:11,2016-06-03 03:56:54
I55US,13473.0838,-165.7812,73.8456,39626.717,47273.9781,61241.2899,2016-06-02 21:56:58,2016-06-03 00:04:25,2016-06-03 03:57:13
I27DE,13987.3818,156.5195,-89.0502,41139.3583,49078.5327,63579.0083,2016-06-02 22:22:11,2016-06-03 00:34:30,2016-06-03 04:36:11
I19DJ,14282.3372,33.1674,-27.6385,42006.874,50113.4638,64919.7144,2016-06-02 22:36:38,2016-06-03 00:51:45,2016-06-03 04:58:31
I35NA,14695.2337,85.8433,-61.3502,43221.2756,51562.2235,66796.5168,2016-06-02 22:56:53,2016-06-03 01:15:54,2016-06-03 05:29:48
I32KE,15078.318,49.7303,-39.3606,44347.9942,52906.379,68537.8092,2016-06-02 23:15:39,2016-06-03 01:38:18,2016-06-03 05:58:49
I04AU,15708.8112,-104.9168,77.2872,46202.3858,55118.6357,71403.6871,2016-06-02 23:46:34,2016-06-03 02:15:10,2016-06-03 06:46:35
I47ZA,15835.1611,94.3234,-70.7287,46574.0033,55561.9689,71978.0051,2016-06-02 23:52:46,2016-06-03 02:22:33,2016-06-03 06:56:10
I03AU,16106.0499,-174.3265,166.998,47370.7351,56512.4559,73209.3179,2016-06-03 00:06:02,2016-06-03 02:38:24,2016-06-03 07:16:41
I06AU,16316.7824,-56.0132,44.8136,47990.5366,57251.8682,74167.1929,2016-06-03 00:16:22,2016-06-03 02:50:43,2016-06-03 07:32:39
I56US,1689.5347,-15.9884,159.8895,4969.2196,5928.1918,7679.703,2016-06-02 12:19:21,2016-06-02 12:35:20,2016-06-02 13:04:31
I52GB,17056.5413,-7.5113,6.2885,50166.2978,59847.5132,77529.733,2016-06-03 00:52:38,2016-06-03 03:33:59,2016-06-03 08:28:41
I33MG,17302.3522,58.1982,-48.3291,50889.2713,60710.0079,78647.0556,2016-06-03 01:04:41,2016-06-03 03:48:22,2016-06-03 08:47:19
I23FR,18283.9115,-177.228,176.4634,53776.2102,64154.0753,83108.6885,2016-06-03 01:52:48,2016-06-03 04:45:46,2016-06-03 10:01:40
I10CA,2191.3616,29.1864,-140.717,6445.1813,7688.9882,9960.7347,2016-06-02 12:43:57,2016-06-02 13:04:40,2016-06-02 13:42:32
I53US,4250.402,-24.3684,126.1464,12501.1824,14913.6913,19320.0092,2016-06-02 14:24:53,2016-06-02 15:05:05,2016-06-02 16:18:32
I51GB,4271.0289,78.9044,-74.8814,12561.8497,14986.0663,19413.7677,2016-06-02 14:25:53,2016-06-02 15:06:18,2016-06-02 16:20:05
I59US,4698.3517,-97.8627,60.8985,13818.6816,16485.4447,21356.1443,2016-06-02 14:46:50,2016-06-02 15:31:17,2016-06-02 16:52:28
I57US,514.095,-90.8636,86.0533,1512.0442,1803.8422,2336.7956,2016-06-02 11:21:44,2016-06-02 11:26:35,2016-06-02 11:35:28
I18DK,5282.7574,11.0183,-131.5498,15537.5217,18535.9908,24012.5335,2016-06-02 15:15:29,2016-06-02 16:05:27,2016-06-02 17:36:44
I21FR,5660.3793,-141.5333,31.5455,16648.1744,19860.98,25728.9969,2016-06-02 15:34:00,2016-06-02 16:27:32,2016-06-02 18:05:20
I13CL,6776.7437,178.4348,-1.4614,19931.5991,23778.0481,30803.3804,2016-06-02 16:28:43,2016-06-02 17:32:50,2016-06-02 19:29:55
I24FR,7028.8851,-138.4986,35.3215,20673.1914,24662.7546,31949.4776,2016-06-02 16:41:05,2016-06-02 17:47:34,2016-06-02 19:49:01
I08BO,7151.2877,134.0181,-38.4868,21033.1992,25092.2376,32505.8533,2016-06-02 16:47:05,2016-06-02 17:54:44,2016-06-02 19:58:17
I44RU,7155.71,-41.7403,67.1513,21046.2059,25107.7544,32525.9546,2016-06-02 16:47:18,2016-06-02 17:54:59,2016-06-02 19:58:37
I42PT,7173.9662,58.6249,-65.9895,21099.9006,25171.8112,32608.9372,2016-06-02 16:48:11,2016-06-02 17:56:03,2016-06-02 20:00:00
I37NO,7859.514,16.9763,-42.795,23116.2177,27577.2421,35725.0637,2016-06-02 17:21:48,2016-06-02 18:36:09,2016-06-02 20:51:57
I14CL,8215.0447,152.5811,-27.3683,24161.8962,28824.7183,37341.1123,2016-06-02 17:39:13,2016-06-02 18:56:56,2016-06-02 21:18:53
I09BR,8628.4114,118.6434,-49.2287,25377.6805,30275.1276,39220.0517,2016-06-02 17:59:29,2016-06-02 19:21:07,2016-06-02 21:50:12
I41PY,8755.8952,132.6633,-42.9897,25752.6331,30722.4394,39799.5238,2016-06-02 18:05:44,2016-06-02 19:28:34,2016-06-02 21:59:51
I11CV,8865.2276,78.4336,-57.5492,26074.1988,31106.0617,40296.4891,2016-06-02 18:11:06,2016-06-02 19:34:58,2016-06-02 22:08:08
I45RU,9265.35,-39.9732,48.1291,27251.0293,32509.9998,42115.2271,2016-06-02 18:30:43,2016-06-02 19:58:21,2016-06-02 22:38:27
I26DE,9316.9113,33.0092,-43.4644,27402.6802,32690.9168,42349.5967,2016-06-02 18:33:14,2016-06-02 20:01:22,2016-06-02 22:42:21
I30JP,9349.2806,-50.9619,52.2728,27497.8841,32804.4933,42496.7299,2016-06-02 18:34:49,2016-06-02 20:03:16,2016-06-02 22:44:48
I43RU,9510.7997,16.8999,-26.1195,27972.9404,33371.2272,43230.9079,2016-06-02 18:42:44,2016-06-02 20:12:43,2016-06-02 22:57:02
